"quarter","gross_quarterly","inflation_quarterly","year","qtr"
"1960Q2",1.04661508704062,0.046615087040619,1960,2
"1960Q3",1.03733136204029,0.0373313620402886,1960,3
"1960Q4",1.07055050774987,0.0705505077498663,1960,4
"1961Q1",1.11915460143119,0.119154601431186,1961,1
"1961Q2",1.06810408921933,0.068104089219331,1961,2
"1961Q3",1.0487261589865,0.0487261589864958,1961,3
"1961Q4",1.12491703172707,0.124917031727068,1961,4
"1962Q1",1.20462591456219,0.20462591456219,1962,1
"1962Q2",1.10050940438871,0.100509404388715,1962,2
"1962Q3",1.07815559907424,0.0781555990742391,1962,3
"1962Q4",1.09180977542933,0.0918097754293263,1962,4
"1963Q1",1.23101935874168,0.231019358741682,1963,1
"1963Q2",1.10172615025493,0.101726150254929,1963,2
"1963Q3",1.10621689434067,0.106216894340675,1963,3
"1963Q4",1.1195060483871,0.119506048387097,1963,4
"1964Q1",1.22997613794966,0.229976137949665,1964,1
"1964Q2",1.09985724221238,0.0998572422123796,1964,2
"1964Q3",1.11798182846873,0.117981828468732,1964,3
"1964Q4",1.14464753512741,0.144647535127411,1964,4
"1965Q1",1.22464955397779,0.22464955397779,1965,1
"1965Q2",1.12892607615367,0.128926076153666,1965,2
"1965Q3",1.10895410082769,0.10895410082769,1965,3
"1965Q4",1.09507735106527,0.0950773510652734,1965,4
"1966Q1",1.14354756261908,0.143547562619081,1966,1
"1966Q2",1.11826777199827,0.118267771998266,1966,2
"1966Q3",1.09482163406214,0.0948216340621399,1966,3
"1966Q4",1.07543453968113,0.0754345396811347,1966,4
"1967Q1",1.07817820804313,0.0781782080431273,1967,1
"1967Q2",1.07156488549618,0.0715648854961835,1967,2
"1967Q3",1.03918076580588,0.0391807658058771,1967,3
"1967Q4",1.03598971722365,0.0359897172236505,1967,4
"1968Q1",1.07030603804797,0.0703060380479734,1968,1
"1968Q2",1.05950540958269,0.0595054095826892,1968,2
"1968Q3",1.05251641137856,0.0525164113785557,1968,3
"1968Q4",1.04573804573805,0.0457380457380456,1968,4
"1969Q1",1.05036447978794,0.050364479787939,1969,1
"1969Q2",1.06119873817035,0.0611987381703469,1969,2
"1969Q3",1.04577883472057,0.045778834720571,1969,3
"1969Q4",1.04604889141558,0.046048891415577,1969,4
"1970Q1",1.05869565217391,0.058695652173913,1970,1
"1970Q2",1.04260780287474,0.0426078028747432,1970,2
"1970Q3",1.06400787789266,0.0640078778926638,1970,3
"1970Q4",1.03424340583063,0.0342434058306342,1970,4
"1971Q1",1.04876957494407,0.0487695749440713,1971,1
"1971Q2",1.05247440273038,0.0524744027303754,1971,2
"1971Q3",1.0437778678557,0.0437778678556953,1971,3
"1971Q4",1.04038834951456,0.0403883495145629,1971,4
"1972Q1",1.06159014557671,0.0615901455767076,1972,1
"1972Q2",1.02742616033755,0.0274261603375527,1972,2
"1972Q3",1.04517453798768,0.0451745379876796,1972,3
"1972Q4",1.03045186640472,0.0304518664047153,1972,4
"1973Q1",1.02732761360025,0.0273276136002543,1973,1
"1973Q2",1.0377358490566,0.037735849056604,1973,2
"1973Q3",1.05007451564829,0.0500745156482862,1973,3
"1973Q4",1.01674709054783,0.0167470905478286,1973,4
"1974Q1",1.0499720826354,0.0499720826353993,1974,1
"1974Q2",1.10821590002659,0.108215900026589,1974,2
"1974Q3",1.05806142034549,0.0580614203454894,1974,3
"1974Q4",1.06757369614512,0.0675736961451248,1974,4
"1975Q1",1.07051826677995,0.0705182667799489,1975,1
"1975Q2",1.06011904761905,0.0601190476190478,1975,2
"1975Q3",1.08403518622497,0.0840351862249673,1975,3
"1975Q4",1.0621546961326,0.0621546961325969,1975,4
"1976Q1",1.11264629388817,0.112646293888166,1976,1
"1976Q2",1.09744338933528,0.0974433893352813,1976,2
"1976Q3",1.08346645367412,0.0834664536741214,1976,3
"1976Q4",1.08575992136626,0.085759921366261,1976,4
"1977Q1",1.11383953830485,0.113839538304854,1977,1
"1977Q2",1.10342375292086,0.103423752920857,1977,2
"1977Q3",1.05846607126416,0.0584660712641563,1977,3
"1977Q4",1.08803061934586,0.0880306193458593,1977,4
"1978Q1",1.10497281739687,0.104972817396866,1978,1
"1978Q2",1.08740322697345,0.0874032269734462,1978,2
"1978Q3",1.10978774369552,0.109787743695522,1978,3
"1978Q4",1.07230649319504,0.0723064931950357,1978,4
"1979Q1",1.12619513558848,0.126195135588482,1979,1
"1979Q2",1.08266309204647,0.0826630920464699,1979,2
"1979Q3",1.17324712248361,0.173247122483606,1979,3
"1979Q4",1.16837991010358,0.168379910103576,1979,4
